date,keyword,value,geo
2026-07-27,Luna Ultra,23,IT
2026-07-28,Luna Ultra,25,IT
2026-07-29,Luna Ultra,26,IT
2026-07-30,Luna Ultra,30,IT
2026-07-31,Luna Ultra,30,IT
2026-08-01,Luna Ultra,25,IT
2026-08-02,Luna Ultra,31,IT
2026-07-27,Insta360 Luna,11,IT
2026-07-28,Insta360 Luna,9,IT
2026-07-29,Insta360 Luna,8,IT
2026-07-30,Insta360 Luna,15,IT
2026-07-31,Insta360 Luna,16,IT
2026-08-01,Insta360 Luna,11,IT
2026-08-02,Insta360 Luna,14,IT
2026-07-27,DJI Osmo Pocket 4,25,IT
2026-07-28,DJI Osmo Pocket 4,26,IT
2026-07-29,DJI Osmo Pocket 4,22,IT
2026-07-30,DJI Osmo Pocket 4,43,IT
2026-07-31,DJI Osmo Pocket 4,34,IT
2026-08-01,DJI Osmo Pocket 4,30,IT
2026-08-02,DJI Osmo Pocket 4,29,IT
2026-07-27,Pocket 4,61,IT
2026-07-28,Pocket 4,55,IT
2026-07-29,Pocket 4,52,IT
2026-07-30,Pocket 4,100,IT
2026-07-31,Pocket 4,75,IT
2026-08-01,Pocket 4,62,IT
2026-08-02,Pocket 4,100,IT
2026-07-27,Luna Ultra,7,FR
2026-07-28,Luna Ultra,7,FR
2026-07-29,Luna Ultra,7,FR
2026-07-30,Luna Ultra,9,FR
2026-07-31,Luna Ultra,8,FR
2026-08-01,Luna Ultra,9,FR
2026-08-02,Luna Ultra,8,FR
2026-07-27,Insta360 Luna,4,FR
2026-07-28,Insta360 Luna,5,FR
2026-07-29,Insta360 Luna,3,FR
2026-07-30,Insta360 Luna,6,FR
2026-07-31,Insta360 Luna,5,FR
2026-08-01,Insta360 Luna,4,FR
2026-08-02,Insta360 Luna,3,FR
2026-07-27,DJI Osmo Pocket 4,24,FR
2026-07-28,DJI Osmo Pocket 4,22,FR
2026-07-29,DJI Osmo Pocket 4,26,FR
2026-07-30,DJI Osmo Pocket 4,36,FR
2026-07-31,DJI Osmo Pocket 4,27,FR
2026-08-01,DJI Osmo Pocket 4,27,FR
2026-08-02,DJI Osmo Pocket 4,25,FR
2026-07-27,Pocket 4,73,FR
2026-07-28,Pocket 4,61,FR
2026-07-29,Pocket 4,68,FR
2026-07-30,Pocket 4,100,FR
2026-07-31,Pocket 4,87,FR
2026-08-01,Pocket 4,76,FR
2026-08-02,Pocket 4,85,FR
2026-07-27,Luna Ultra,17,ES
2026-07-28,Luna Ultra,21,ES
2026-07-29,Luna Ultra,22,ES
2026-07-30,Luna Ultra,24,ES
2026-07-31,Luna Ultra,21,ES
2026-08-01,Luna Ultra,19,ES
2026-08-02,Luna Ultra,22,ES
2026-07-27,Insta360 Luna,6,ES
2026-07-28,Insta360 Luna,10,ES
2026-07-29,Insta360 Luna,6,ES
2026-07-30,Insta360 Luna,11,ES
2026-07-31,Insta360 Luna,9,ES
2026-08-01,Insta360 Luna,9,ES
2026-08-02,Insta360 Luna,12,ES
2026-07-27,DJI Osmo Pocket 4,27,ES
2026-07-28,DJI Osmo Pocket 4,22,ES
2026-07-29,DJI Osmo Pocket 4,23,ES
2026-07-30,DJI Osmo Pocket 4,45,ES
2026-07-31,DJI Osmo Pocket 4,30,ES
2026-08-01,DJI Osmo Pocket 4,25,ES
2026-08-02,DJI Osmo Pocket 4,30,ES
2026-07-27,Pocket 4,64,ES
2026-07-28,Pocket 4,57,ES
2026-07-29,Pocket 4,58,ES
2026-07-30,Pocket 4,100,ES
2026-07-31,Pocket 4,67,ES
2026-08-01,Pocket 4,70,ES
2026-08-02,Pocket 4,73,ES
2026-07-27,Luna Ultra,12,GB
2026-07-28,Luna Ultra,12,GB
2026-07-29,Luna Ultra,10,GB
2026-07-30,Luna Ultra,14,GB
2026-07-31,Luna Ultra,14,GB
2026-08-01,Luna Ultra,12,GB
2026-08-02,Luna Ultra,13,GB
2026-07-27,Insta360 Luna,7,GB
2026-07-28,Insta360 Luna,6,GB
2026-07-29,Insta360 Luna,6,GB
2026-07-30,Insta360 Luna,10,GB
2026-07-31,Insta360 Luna,8,GB
2026-08-01,Insta360 Luna,8,GB
2026-08-02,Insta360 Luna,9,GB
2026-07-27,DJI Osmo Pocket 4,30,GB
2026-07-28,DJI Osmo Pocket 4,31,GB
2026-07-29,DJI Osmo Pocket 4,27,GB
2026-07-30,DJI Osmo Pocket 4,47,GB
2026-07-31,DJI Osmo Pocket 4,36,GB
2026-08-01,DJI Osmo Pocket 4,30,GB
2026-08-02,DJI Osmo Pocket 4,31,GB
2026-07-27,Pocket 4,67,GB
2026-07-28,Pocket 4,71,GB
2026-07-29,Pocket 4,60,GB
2026-07-30,Pocket 4,100,GB
2026-07-31,Pocket 4,82,GB
2026-08-01,Pocket 4,71,GB
2026-08-02,Pocket 4,72,GB
