date,keyword,value,geo
2026-07-06,Luna Ultra,22,ES
2026-07-07,Luna Ultra,19,ES
2026-07-08,Luna Ultra,24,ES
2026-07-09,Luna Ultra,20,ES
2026-07-10,Luna Ultra,20,ES
2026-07-11,Luna Ultra,19,ES
2026-07-12,Luna Ultra,25,ES
2026-07-06,Insta360 Luna,11,ES
2026-07-07,Insta360 Luna,7,ES
2026-07-08,Insta360 Luna,11,ES
2026-07-09,Insta360 Luna,6,ES
2026-07-10,Insta360 Luna,6,ES
2026-07-11,Insta360 Luna,7,ES
2026-07-12,Insta360 Luna,8,ES
2026-07-06,DJI Osmo Pocket 4,21,ES
2026-07-07,DJI Osmo Pocket 4,24,ES
2026-07-08,DJI Osmo Pocket 4,25,ES
2026-07-09,DJI Osmo Pocket 4,24,ES
2026-07-10,DJI Osmo Pocket 4,19,ES
2026-07-11,DJI Osmo Pocket 4,19,ES
2026-07-12,DJI Osmo Pocket 4,29,ES
2026-07-06,Pocket 4,58,ES
2026-07-07,Pocket 4,59,ES
2026-07-08,Pocket 4,74,ES
2026-07-09,Pocket 4,64,ES
2026-07-10,Pocket 4,54,ES
2026-07-11,Pocket 4,55,ES
2026-07-12,Pocket 4,100,ES
2026-07-06,Luna Ultra,15,GB
2026-07-07,Luna Ultra,17,GB
2026-07-08,Luna Ultra,19,GB
2026-07-09,Luna Ultra,16,GB
2026-07-10,Luna Ultra,20,GB
2026-07-11,Luna Ultra,17,GB
2026-07-12,Luna Ultra,19,GB
2026-07-06,Insta360 Luna,9,GB
2026-07-07,Insta360 Luna,11,GB
2026-07-08,Insta360 Luna,12,GB
2026-07-09,Insta360 Luna,11,GB
2026-07-10,Insta360 Luna,9,GB
2026-07-11,Insta360 Luna,9,GB
2026-07-12,Insta360 Luna,12,GB
2026-07-06,DJI Osmo Pocket 4,32,GB
2026-07-07,DJI Osmo Pocket 4,38,GB
2026-07-08,DJI Osmo Pocket 4,38,GB
2026-07-09,DJI Osmo Pocket 4,40,GB
2026-07-10,DJI Osmo Pocket 4,32,GB
2026-07-11,DJI Osmo Pocket 4,37,GB
2026-07-12,DJI Osmo Pocket 4,43,GB
2026-07-06,Pocket 4,81,GB
2026-07-07,Pocket 4,86,GB
2026-07-08,Pocket 4,89,GB
2026-07-09,Pocket 4,86,GB
2026-07-10,Pocket 4,76,GB
2026-07-11,Pocket 4,86,GB
2026-07-12,Pocket 4,100,GB
