date,keyword,value,geo
2026-07-13,Luna Ultra,31,DE
2026-07-14,Luna Ultra,24,DE
2026-07-15,Luna Ultra,22,DE
2026-07-16,Luna Ultra,24,DE
2026-07-17,Luna Ultra,25,DE
2026-07-18,Luna Ultra,22,DE
2026-07-19,Luna Ultra,22,DE
2026-07-13,Insta360 Luna,19,DE
2026-07-14,Insta360 Luna,14,DE
2026-07-15,Insta360 Luna,11,DE
2026-07-16,Insta360 Luna,15,DE
2026-07-17,Insta360 Luna,14,DE
2026-07-18,Insta360 Luna,14,DE
2026-07-19,Insta360 Luna,15,DE
2026-07-13,DJI Osmo Pocket 4,47,DE
2026-07-14,DJI Osmo Pocket 4,46,DE
2026-07-15,DJI Osmo Pocket 4,46,DE
2026-07-16,DJI Osmo Pocket 4,44,DE
2026-07-17,DJI Osmo Pocket 4,43,DE
2026-07-18,DJI Osmo Pocket 4,51,DE
2026-07-19,DJI Osmo Pocket 4,50,DE
2026-07-13,Pocket 4,100,DE
2026-07-14,Pocket 4,98,DE
2026-07-15,Pocket 4,94,DE
2026-07-16,Pocket 4,91,DE
2026-07-17,Pocket 4,83,DE
2026-07-18,Pocket 4,97,DE
2026-07-19,Pocket 4,99,DE
2026-07-13,Luna Ultra,33,IT
2026-07-14,Luna Ultra,35,IT
2026-07-15,Luna Ultra,28,IT
2026-07-16,Luna Ultra,31,IT
2026-07-17,Luna Ultra,41,IT
2026-07-18,Luna Ultra,35,IT
2026-07-19,Luna Ultra,35,IT
2026-07-13,Insta360 Luna,25,IT
2026-07-14,Insta360 Luna,20,IT
2026-07-15,Insta360 Luna,17,IT
2026-07-16,Insta360 Luna,19,IT
2026-07-17,Insta360 Luna,16,IT
2026-07-18,Insta360 Luna,21,IT
2026-07-19,Insta360 Luna,19,IT
2026-07-13,DJI Osmo Pocket 4,41,IT
2026-07-14,DJI Osmo Pocket 4,38,IT
2026-07-15,DJI Osmo Pocket 4,33,IT
2026-07-16,DJI Osmo Pocket 4,32,IT
2026-07-17,DJI Osmo Pocket 4,32,IT
2026-07-18,DJI Osmo Pocket 4,43,IT
2026-07-19,DJI Osmo Pocket 4,41,IT
2026-07-13,Pocket 4,99,IT
2026-07-14,Pocket 4,99,IT
2026-07-15,Pocket 4,71,IT
2026-07-16,Pocket 4,81,IT
2026-07-17,Pocket 4,79,IT
2026-07-18,Pocket 4,95,IT
2026-07-19,Pocket 4,100,IT
2026-07-13,Luna Ultra,12,FR
2026-07-14,Luna Ultra,11,FR
2026-07-15,Luna Ultra,8,FR
2026-07-16,Luna Ultra,12,FR
2026-07-17,Luna Ultra,11,FR
2026-07-18,Luna Ultra,13,FR
2026-07-19,Luna Ultra,13,FR
2026-07-13,Insta360 Luna,8,FR
2026-07-14,Insta360 Luna,6,FR
2026-07-15,Insta360 Luna,6,FR
2026-07-16,Insta360 Luna,6,FR
2026-07-17,Insta360 Luna,5,FR
2026-07-18,Insta360 Luna,8,FR
2026-07-19,Insta360 Luna,7,FR
2026-07-13,DJI Osmo Pocket 4,29,FR
2026-07-14,DJI Osmo Pocket 4,29,FR
2026-07-15,DJI Osmo Pocket 4,27,FR
2026-07-16,DJI Osmo Pocket 4,34,FR
2026-07-17,DJI Osmo Pocket 4,38,FR
2026-07-18,DJI Osmo Pocket 4,32,FR
2026-07-19,DJI Osmo Pocket 4,39,FR
2026-07-13,Pocket 4,87,FR
2026-07-14,Pocket 4,93,FR
2026-07-15,Pocket 4,77,FR
2026-07-16,Pocket 4,91,FR
2026-07-17,Pocket 4,99,FR
2026-07-18,Pocket 4,100,FR
2026-07-19,Pocket 4,99,FR
2026-07-13,Luna Ultra,20,ES
2026-07-14,Luna Ultra,18,ES
2026-07-15,Luna Ultra,25,ES
2026-07-16,Luna Ultra,25,ES
2026-07-17,Luna Ultra,27,ES
2026-07-18,Luna Ultra,26,ES
2026-07-19,Luna Ultra,16,ES
2026-07-13,Insta360 Luna,10,ES
2026-07-14,Insta360 Luna,8,ES
2026-07-15,Insta360 Luna,10,ES
2026-07-16,Insta360 Luna,11,ES
2026-07-17,Insta360 Luna,11,ES
2026-07-18,Insta360 Luna,13,ES
2026-07-19,Insta360 Luna,0,ES
2026-07-13,DJI Osmo Pocket 4,33,ES
2026-07-14,DJI Osmo Pocket 4,26,ES
2026-07-15,DJI Osmo Pocket 4,28,ES
2026-07-16,DJI Osmo Pocket 4,27,ES
