date,keyword,value,geo
2026-08-10,Luna Ultra,11,DE
2026-08-11,Luna Ultra,11,DE
2026-08-12,Luna Ultra,9,DE
2026-08-13,Luna Ultra,10,DE
2026-08-14,Luna Ultra,10,DE
2026-08-15,Luna Ultra,13,DE
2026-08-16,Luna Ultra,12,DE
2026-08-10,Insta360 Luna,6,DE
2026-08-11,Insta360 Luna,6,DE
2026-08-12,Insta360 Luna,5,DE
2026-08-13,Insta360 Luna,6,DE
2026-08-14,Insta360 Luna,5,DE
2026-08-15,Insta360 Luna,6,DE
2026-08-16,Insta360 Luna,6,DE
2026-08-10,DJI Osmo Pocket 4,24,DE
2026-08-11,DJI Osmo Pocket 4,21,DE
2026-08-12,DJI Osmo Pocket 4,22,DE
2026-08-13,DJI Osmo Pocket 4,26,DE
2026-08-14,DJI Osmo Pocket 4,50,DE
2026-08-15,DJI Osmo Pocket 4,66,DE
2026-08-16,DJI Osmo Pocket 4,62,DE
2026-08-10,Pocket 4,46,DE
2026-08-11,Pocket 4,43,DE
2026-08-12,Pocket 4,46,DE
2026-08-13,Pocket 4,52,DE
2026-08-14,Pocket 4,79,DE
2026-08-15,Pocket 4,100,DE
2026-08-16,Pocket 4,98,DE
2026-08-10,Luna Ultra,33,IT
2026-08-11,Luna Ultra,29,IT
2026-08-12,Luna Ultra,33,IT
2026-08-13,Luna Ultra,25,IT
2026-08-14,Luna Ultra,30,IT
2026-08-15,Luna Ultra,27,IT
2026-08-16,Luna Ultra,36,IT
2026-08-10,Insta360 Luna,14,IT
2026-08-11,Insta360 Luna,15,IT
2026-08-12,Insta360 Luna,17,IT
2026-08-13,Insta360 Luna,13,IT
2026-08-14,Insta360 Luna,11,IT
2026-08-15,Insta360 Luna,10,IT
2026-08-16,Insta360 Luna,19,IT
2026-08-10,DJI Osmo Pocket 4,40,IT
2026-08-11,DJI Osmo Pocket 4,36,IT
2026-08-12,DJI Osmo Pocket 4,32,IT
2026-08-13,DJI Osmo Pocket 4,34,IT
2026-08-14,DJI Osmo Pocket 4,31,IT
