date,keyword,value,geo
2026-08-03,Luna Ultra,20,DE
2026-08-04,Luna Ultra,18,DE
2026-08-05,Luna Ultra,24,DE
2026-08-06,Luna Ultra,21,DE
2026-08-07,Luna Ultra,19,DE
2026-08-08,Luna Ultra,19,DE
2026-08-09,Luna Ultra,21,DE
2026-08-03,Insta360 Luna,12,DE
2026-08-04,Insta360 Luna,10,DE
2026-08-05,Insta360 Luna,15,DE
2026-08-06,Insta360 Luna,12,DE
2026-08-07,Insta360 Luna,11,DE
2026-08-08,Insta360 Luna,10,DE
2026-08-09,Insta360 Luna,12,DE
2026-08-03,DJI Osmo Pocket 4,48,DE
2026-08-04,DJI Osmo Pocket 4,48,DE
2026-08-05,DJI Osmo Pocket 4,48,DE
2026-08-06,DJI Osmo Pocket 4,40,DE
2026-08-07,DJI Osmo Pocket 4,42,DE
2026-08-08,DJI Osmo Pocket 4,48,DE
2026-08-09,DJI Osmo Pocket 4,52,DE
2026-08-03,Pocket 4,94,DE
2026-08-04,Pocket 4,99,DE
2026-08-05,Pocket 4,96,DE
2026-08-06,Pocket 4,84,DE
2026-08-07,Pocket 4,80,DE
2026-08-08,Pocket 4,94,DE
2026-08-09,Pocket 4,100,DE
2026-08-03,Luna Ultra,12,IT
2026-08-04,Luna Ultra,16,IT
2026-08-05,Luna Ultra,13,IT
2026-08-06,Luna Ultra,12,IT
2026-08-07,Luna Ultra,12,IT
2026-08-08,Luna Ultra,13,IT
2026-08-09,Luna Ultra,14,IT
2026-08-03,Insta360 Luna,6,IT
2026-08-04,Insta360 Luna,8,IT
2026-08-05,Insta360 Luna,5,IT
2026-08-06,Insta360 Luna,5,IT
2026-08-07,Insta360 Luna,5,IT
2026-08-08,Insta360 Luna,8,IT
2026-08-09,Insta360 Luna,7,IT
2026-08-03,DJI Osmo Pocket 4,16,IT
2026-08-04,DJI Osmo Pocket 4,18,IT
2026-08-05,DJI Osmo Pocket 4,11,IT
2026-08-06,DJI Osmo Pocket 4,17,IT
2026-08-07,DJI Osmo Pocket 4,16,IT
2026-08-08,DJI Osmo Pocket 4,16,IT
2026-08-09,DJI Osmo Pocket 4,14,IT
2026-08-03,Pocket 4,100,IT
2026-08-04,Pocket 4,73,IT
2026-08-05,Pocket 4,47,IT
2026-08-06,Pocket 4,49,IT
2026-08-07,Pocket 4,37,IT
2026-08-08,Pocket 4,42,IT
2026-08-09,Pocket 4,43,IT
2026-08-03,Luna Ultra,7,FR
2026-08-04,Luna Ultra,7,FR
2026-08-05,Luna Ultra,7,FR
2026-08-06,Luna Ultra,8,FR
2026-08-07,Luna Ultra,9,FR
2026-08-08,Luna Ultra,8,FR
2026-08-09,Luna Ultra,9,FR
2026-08-03,Insta360 Luna,4,FR
2026-08-04,Insta360 Luna,3,FR
2026-08-05,Insta360 Luna,3,FR
2026-08-06,Insta360 Luna,5,FR
2026-08-07,Insta360 Luna,4,FR
2026-08-08,Insta360 Luna,3,FR
2026-08-09,Insta360 Luna,4,FR
2026-08-03,DJI Osmo Pocket 4,38,FR
2026-08-04,DJI Osmo Pocket 4,38,FR
2026-08-05,DJI Osmo Pocket 4,34,FR
2026-08-06,DJI Osmo Pocket 4,33,FR
2026-08-07,DJI Osmo Pocket 4,34,FR
2026-08-08,DJI Osmo Pocket 4,33,FR
2026-08-09,DJI Osmo Pocket 4,29,FR
2026-08-03,Pocket 4,100,FR
2026-08-04,Pocket 4,93,FR
2026-08-05,Pocket 4,99,FR
2026-08-06,Pocket 4,85,FR
2026-08-07,Pocket 4,89,FR
2026-08-08,Pocket 4,91,FR
2026-08-09,Pocket 4,91,FR
2026-08-03,Luna Ultra,30,ES
2026-08-04,Luna Ultra,25,ES
2026-08-05,Luna Ultra,26,ES
2026-08-06,Luna Ultra,25,ES
2026-08-07,Luna Ultra,27,ES
2026-08-08,Luna Ultra,22,ES
2026-08-09,Luna Ultra,20,ES
2026-08-03,Insta360 Luna,11,ES
2026-08-04,Insta360 Luna,8,ES
2026-08-05,Insta360 Luna,8,ES
2026-08-06,Insta360 Luna,10,ES
2026-08-07,Insta360 Luna,14,ES
2026-08-08,Insta360 Luna,10,ES
2026-08-09,Insta360 Luna,6,ES
2026-08-03,DJI Osmo Pocket 4,35,ES
2026-08-04,DJI Osmo Pocket 4,40,ES
2026-08-05,DJI Osmo Pocket 4,38,ES
2026-08-06,DJI Osmo Pocket 4,37,ES
2026-08-07,DJI Osmo Pocket 4,38,ES
2026-08-08,DJI Osmo Pocket 4,36,ES
2026-08-09,DJI Osmo Pocket 4,43,ES
2026-08-03,Pocket 4,85,ES
2026-08-04,Pocket 4,94,ES
2026-08-05,Pocket 4,95,ES
2026-08-06,Pocket 4,90,ES
2026-08-07,Pocket 4,83,ES
2026-08-08,Pocket 4,91,ES
2026-08-09,Pocket 4,100,ES
2026-08-03,Luna Ultra,10,GB
2026-08-04,Luna Ultra,12,GB
2026-08-05,Luna Ultra,12,GB
2026-08-06,Luna Ultra,14,GB
2026-08-07,Luna Ultra,13,GB
2026-08-08,Luna Ultra,14,GB
2026-08-09,Luna Ultra,15,GB
2026-08-03,Insta360 Luna,7,GB
2026-08-04,Insta360 Luna,7,GB
2026-08-05,Insta360 Luna,6,GB
2026-08-06,Insta360 Luna,8,GB
2026-08-07,Insta360 Luna,9,GB
2026-08-08,Insta360 Luna,9,GB
2026-08-09,Insta360 Luna,8,GB
2026-08-03,DJI Osmo Pocket 4,36,GB
2026-08-04,DJI Osmo Pocket 4,37,GB
2026-08-05,DJI Osmo Pocket 4,34,GB
2026-08-06,DJI Osmo Pocket 4,36,GB
2026-08-07,DJI Osmo Pocket 4,45,GB
2026-08-08,DJI Osmo Pocket 4,47,GB
2026-08-09,DJI Osmo Pocket 4,45,GB
2026-08-03,Pocket 4,83,GB
2026-08-04,Pocket 4,93,GB
2026-08-05,Pocket 4,74,GB
2026-08-06,Pocket 4,83,GB
2026-08-07,Pocket 4,93,GB
2026-08-08,Pocket 4,99,GB
2026-08-09,Pocket 4,100,GB
