date,keyword,value,geo
2026-08-17,Luna Ultra,12,DE
2026-08-18,Luna Ultra,12,DE
2026-08-19,Luna Ultra,11,DE
2026-08-20,Luna Ultra,12,DE
2026-08-21,Luna Ultra,10,DE
2026-08-22,Luna Ultra,12,DE
2026-08-23,Luna Ultra,14,DE
2026-08-17,Insta360 Luna,6,DE
2026-08-18,Insta360 Luna,6,DE
2026-08-19,Insta360 Luna,6,DE
2026-08-20,Insta360 Luna,6,DE
2026-08-21,Insta360 Luna,5,DE
2026-08-22,Insta360 Luna,6,DE
2026-08-23,Insta360 Luna,6,DE
2026-08-17,DJI Osmo Pocket 4,56,DE
2026-08-18,DJI Osmo Pocket 4,56,DE
2026-08-19,DJI Osmo Pocket 4,57,DE
2026-08-20,DJI Osmo Pocket 4,60,DE
2026-08-21,DJI Osmo Pocket 4,55,DE
2026-08-22,DJI Osmo Pocket 4,63,DE
2026-08-23,DJI Osmo Pocket 4,61,DE
2026-08-17,Pocket 4,88,DE
2026-08-18,Pocket 4,87,DE
2026-08-19,Pocket 4,89,DE
2026-08-20,Pocket 4,92,DE
2026-08-21,Pocket 4,87,DE
2026-08-22,Pocket 4,100,DE
2026-08-23,Pocket 4,97,DE
2026-08-17,Luna Ultra,31,IT
2026-08-18,Luna Ultra,32,IT
2026-08-19,Luna Ultra,29,IT
2026-08-20,Luna Ultra,40,IT
2026-08-21,Luna Ultra,30,IT
2026-08-22,Luna Ultra,33,IT
2026-08-23,Luna Ultra,35,IT
2026-08-17,Insta360 Luna,14,IT
2026-08-18,Insta360 Luna,13,IT
2026-08-19,Insta360 Luna,17,IT
2026-08-20,Insta360 Luna,18,IT
2026-08-21,Insta360 Luna,16,IT
2026-08-22,Insta360 Luna,17,IT
2026-08-23,Insta360 Luna,11,IT
2026-08-17,DJI Osmo Pocket 4,44,IT
2026-08-18,DJI Osmo Pocket 4,30,IT
2026-08-19,DJI Osmo Pocket 4,33,IT
2026-08-20,DJI Osmo Pocket 4,42,IT
2026-08-21,DJI Osmo Pocket 4,35,IT
2026-08-22,DJI Osmo Pocket 4,32,IT
2026-08-23,DJI Osmo Pocket 4,35,IT
2026-08-17,Pocket 4,95,IT
2026-08-18,Pocket 4,92,IT
2026-08-19,Pocket 4,96,IT
2026-08-20,Pocket 4,100,IT
2026-08-21,Pocket 4,83,IT
2026-08-22,Pocket 4,81,IT
2026-08-23,Pocket 4,93,IT
2026-08-17,Luna Ultra,10,FR
2026-08-18,Luna Ultra,11,FR
2026-08-19,Luna Ultra,7,FR
2026-08-20,Luna Ultra,8,FR
2026-08-21,Luna Ultra,8,FR
2026-08-22,Luna Ultra,9,FR
2026-08-23,Luna Ultra,10,FR
2026-08-17,Insta360 Luna,5,FR
2026-08-18,Insta360 Luna,5,FR
2026-08-19,Insta360 Luna,4,FR
2026-08-20,Insta360 Luna,4,FR
2026-08-21,Insta360 Luna,6,FR
2026-08-22,Insta360 Luna,4,FR
2026-08-23,Insta360 Luna,6,FR
2026-08-17,DJI Osmo Pocket 4,38,FR
2026-08-18,DJI Osmo Pocket 4,34,FR
2026-08-19,DJI Osmo Pocket 4,34,FR
2026-08-20,DJI Osmo Pocket 4,29,FR
2026-08-21,DJI Osmo Pocket 4,29,FR
2026-08-22,DJI Osmo Pocket 4,33,FR
2026-08-23,DJI Osmo Pocket 4,26,FR
2026-08-17,Pocket 4,100,FR
2026-08-18,Pocket 4,88,FR
2026-08-19,Pocket 4,93,FR
2026-08-20,Pocket 4,76,FR
2026-08-21,Pocket 4,76,FR
2026-08-22,Pocket 4,87,FR
2026-08-23,Pocket 4,81,FR
2026-08-17,Luna Ultra,28,ES
2026-08-18,Luna Ultra,24,ES
2026-08-19,Luna Ultra,27,ES
2026-08-20,Luna Ultra,26,ES
2026-08-21,Luna Ultra,22,ES
2026-08-22,Luna Ultra,25,ES
2026-08-23,Luna Ultra,31,ES
2026-08-17,Insta360 Luna,8,ES
2026-08-18,Insta360 Luna,11,ES
2026-08-19,Insta360 Luna,12,ES
2026-08-20,Insta360 Luna,11,ES
2026-08-21,Insta360 Luna,12,ES
2026-08-22,Insta360 Luna,7,ES
2026-08-23,Insta360 Luna,5,ES
2026-08-17,DJI Osmo Pocket 4,43,ES
2026-08-18,DJI Osmo Pocket 4,39,ES
2026-08-19,DJI Osmo Pocket 4,31,ES
2026-08-20,DJI Osmo Pocket 4,30,ES
2026-08-21,DJI Osmo Pocket 4,33,ES
2026-08-22,DJI Osmo Pocket 4,27,ES
2026-08-23,DJI Osmo Pocket 4,37,ES
2026-08-17,Pocket 4,100,ES
2026-08-18,Pocket 4,90,ES
2026-08-19,Pocket 4,91,ES
2026-08-20,Pocket 4,67,ES
2026-08-21,Pocket 4,82,ES
2026-08-22,Pocket 4,79,ES
2026-08-23,Pocket 4,91,ES
2026-08-17,Luna Ultra,15,GB
2026-08-18,Luna Ultra,16,GB
2026-08-19,Luna Ultra,15,GB
2026-08-20,Luna Ultra,12,GB
